title:happy, start timestamp:1677472329.130398, stop timestamp:1677472390.103198, headset type:EPOCX, headset serial:E50201C8, headset firmware:720, channels:67, sampling rate:eeg_128;mot_32, samples:7810      , version:2.1, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1677472329.208479,1677472329.208796,123.000000,0.000000,4231.282227,4212.692383,4264.615234,4246.410156,4233.717773,4280.128418,4280.641113,4301.666504,4451.794922,4250.256348,4476.153809,4464.487305,4346.538574,4409.102539,6279.000000,4.000000,98.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1677472329.216287,1677472329.216604,124.000000,0.000000,4241.282227,4213.974121,4273.717773,4248.461426,4232.948730,4276.025879,4278.333496,4303.974121,4448.589844,4258.717773,4483.333496,4477.692383,4353.846191,4418.205078,6013.000000,4.000000,98.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,31.000000,0.000000,0.713460,-0.232727,-0.659241,-0.047058,0.956171,-0.272494,0.022464,-109.076096,25.340532,6.899485
1677472329.224095,1677472329.224512,125.000000,0.000000,4257.307617,4222.948730,4283.077148,4258.461426,4234.102539,4271.282227,4278.333496,4303.846191,4446.794922,4258.461426,4486.922852,4483.333496,4356.538574,4432.563965,6775.000000,4.000000,98.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1677472329.231903,1677472329.232320,126.000000,0.000000,4264.230957,4232.820313,4285.769043,4266.153809,4241.025879,4271.666504,4280.897461,4298.589844,4441.282227,4249.358887,4481.538574,4481.794922,4356.282227,4448.717773,6013.000000,4.000000,98.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1677472329.239711,1677472329.240228,127.000000,0.000000,4262.948730,4237.692383,4287.051270,4267.179688,4248.205078,4274.358887,4283.077148,4297.051270,4434.230957,4248.461426,4480.256348,4485.128418,4356.666504,4446.282227,98.000000,4.000000,98.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1677472329.247519,1677472329.248036,0.000000,0.000000,4258.589844,4233.846191,4285.384766,4265.256348,4245.000000,4274.871582,4277.436035,4297.307617,4424.615234,4249.487305,4478.589844,4483.846191,4351.666504,4427.563965,5447.000000,4.000000,98.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,0.000000,0.000000,0.713421,-0.233032,-0.659180,-0.046997,0.971798,-0.269076,0.026370,-109.168488,25.306480,7.076203
1677472329.255327,1677472329.255944,1.000000,0.000000,4250.384766,4225.256348,4273.974121,4257.820313,4238.717773,4268.461426,4268.333496,4290.641113,4410.769043,4239.102539,4465.512695,4468.461426,4339.230957,4413.589844,4827.000000,4.000000,98.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1677472329.263135,1677472329.263751,2.000000,0.000000,4246.794922,4223.077148,4270.641113,4253.077148,4242.820313,4264.102539,4269.102539,4289.615234,4407.692383,4230.512695,4465.128418,4464.743652,4338.461426,4412.307617,5277.000000,4.000000,98.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1677472329.270943,1677472329.271459,3.000000,0.000000,4250.256348,4223.846191,4279.487305,4256.922852,4248.589844,4264.358887,4273.846191,4295.512695,4412.692383,4235.256348,4475.256348,4477.948730,4346.922852,4412.948730,5465.000000,4.000000,98.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1677472329.278751,1677472329.279367,4.000000,0.000000,4248.974121,4217.563965,4276.794922,4254.871582,4246.282227,4263.333496,4270.256348,4293.589844,4409.358887,4237.307617,4468.717773,4473.717773,4341.922852,4413.077148,4811.000000,4.000000,98.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,1.000000,0.000000,0.713248,-0.233215,-0.659302,-0.046997,0.970333,-0.272494,0.032719,-109.234970,25.309166,7.168583
1677472329.286559,1677472329.287175,5.000000,0.000000,4246.794922,4215.769043,4271.410156,4248.461426,4242.692383,4262.436035,4271.538574,4295.769043,4407.948730,4237.692383,4463.717773,4464.102539,4337.307617,4422.948730,4948.000000,4.000000,98.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1677472329.294367,1677472329.294983,6.000000,0.000000,4246.922852,4220.897461,4275.512695,4253.333496,4245.384766,4265.769043,4277.948730,4302.307617,4414.230957,4242.820313,4469.743652,4471.282227,4341.153809,4427.692383,3877.000000,4.000000,98.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1677472329.302175,1677472329.302691,7.000000,0.000000,4246.025879,4220.641113,4276.794922,4261.666504,4248.461426,4267.563965,4276.666504,4298.846191,4409.871582,4237.307617,4467.051270,4475.897461,4334.230957,4409.230957,5080.000000,4.000000,98.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1677472329.309983,1677472329.310499,8.000000,0.000000,4247.436035,4221.538574,4271.922852,4262.563965,4250.128418,4267.563965,4272.051270,4293.974121,4398.846191,4229.487305,4461.666504,4468.461426,4326.410156,4400.384766,4978.000000,4.000000,98.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,2.000000,0.000000,0.713180,-0.233276,-0.659363,-0.046875,0.969845,-0.267122,0.024905,-109.194809,25.328249,7.151725
1677472329.317791,1677472329.318206,9.000000,0.000000,4244.487305,4222.820313,4269.102539,4258.589844,4250.897461,4266.666504,4268.717773,4293.205078,4397.307617,4233.461426,4464.615234,4466.410156,4329.230957,4407.051270,4729.000000,4.000000,98.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1677472329.325599,1677472329.326014,10.000000,0.000000,4233.846191,4217.820313,4265.512695,4252.820313,4250.000000,4265.000000,4261.282227,4286.922852,4393.461426,4233.846191,4460.641113,4465.512695,4324.743652,4400.384766,6013.000000,4.000000,98.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1677472329.333407,1677472329.333722,11.000000,0.000000,4230.128418,4216.282227,4263.717773,4250.128418,4249.487305,4263.589844,4260.128418,4280.641113,4382.051270,4226.282227,4453.205078,4459.102539,4318.461426,4397.307617,6279.000000,4.000000,98.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1677472329.341215,1677472329.341530,12.000000,0.000000,4239.487305,4223.974121,4267.179688,4254.615234,4248.974121,4262.051270,4265.000000,4283.205078,4378.461426,4230.128418,4458.077148,4459.615234,4328.974121,4410.769043,6013.000000,4.000000,98.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,1.000000,66.666664,4.000000,4.000000,4.000000,4.000000,3.000000,4.000000,4.000000,4.000000,1.000000,4.000000,4.000000,4.000000,4.000000,4.000000,3.000000,0.000000,0.713224,-0.233398,-0.659302,-0.046448,0.958125,-0.276889,0.028812,-109.108658,25.262091,6.969886
1677472329.349023,1677472329.349237,13.000000,0.000000,4248.333496,4229.487305,4271.282227,4259.615234,4249.230957,4261.794922,4268.974121,4290.256348,4383.333496,4240.641113,4465.128418,4468.205078,4338.205078,4414.358887,6781.000000,4.000000,98.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1677472329.356831,1677472329.357045,14.000000,0.000000,4246.922852,4225.256348,4272.436035,4256.025879,4248.077148,4264.358887,4269.102539,4291.282227,4381.153809,4239.230957,4464.358887,4468.333496,4331.922852,4411.282227,6013.000000,4.000000,98.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1677472329.364639,1677472329.364753,15.000000,0.000000,4242.692383,4218.333496,4270.641113,4253.205078,4247.692383,4266.794922,4265.769043,4287.820313,4372.692383,4233.589844,4459.358887,4462.563965,4324.871582,4416.666504,6279.000000,4.000000,98.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1677472329.372447,1677472329.372561,16.000000,0.000000,4244.230957,4217.563965,4270.000000,4254.487305,4247.307617,4266.922852,4265.384766,4289.615234,4370.000000,4233.461426,4457.820313,4466.025879,4324.230957,4409.871582,0.000000,4.000000,98.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,4.000000,0.000000,0.713055,-0.233643,-0.659424,-0.046082,0.975705,-0.295446,0.035649,-109.064461,25.185881,6.906230
1677472329.380255,1677472329.380269,17.000000,0.000000,4249.230957,4222.179688,4273.077148,4256.666504,4245.641113,4265.769043,4269.358887,4295.000000,4371.922852,4233.846191,4460.128418,4467.948730,4322.820313,4399.743652,0.000000,4.000000,98.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1677472329.388063,1677472329.388176,18.000000,0.000000,4243.717773,4220.512695,4273.077148,4254.358887,4246.410156,4265.512695,4268.589844,4294.358887,4365.769043,4226.153809,4455.000000,4457.820313,4316.025879,4398.461426,0.000000,4.000000,98.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1677472329.395871,1677472329.395984,19.000000,0.000000,4231.922852,4214.358887,4263.589844,4249.230957,4246.538574,4264.871582,4263.974121,4291.025879,4357.563965,4213.205078,4445.256348,4450.897461,4306.922852,4389.230957,0.000000,4.000000,98.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1677472329.403679,1677472329.403892,20.000000,0.000000,4228.077148,4213.974121,4256.282227,4251.153809,4243.589844,4262.563965,4265.769043,4292.692383,4357.820313,4214.615234,4441.025879,4453.974121,4303.077148,4384.871582,0.000000,4.000000,98.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,5.000000,0.000000,0.712967,-0.233765,-0.659485,-0.045959,0.982542,-0.299841,0.015627,-109.124680,25.167294,6.832274
1677472329.411487,1677472329.411700,21.000000,0.000000,4234.102539,4220.256348,4261.282227,4257.436035,4243.589844,4264.487305,4271.025879,4294.871582,4360.000000,4230.897461,4443.333496,4457.692383,4305.000000,4395.769043,0.000000,4.000000,98.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1677472329.419295,1677472329.419608,22.000000,0.000000,4242.179688,4227.179688,4273.589844,4262.051270,4248.717773,4273.077148,4277.179688,4299.743652,4364.743652,4238.974121,4451.538574,4466.410156,4311.666504,4401.410156,0.000000,4.000000,98.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1677472329.427103,1677472329.427416,23.000000,0.000000,4240.641113,4228.461426,4273.717773,4263.333496,4251.282227,4272.948730,4274.871582,4302.307617,4369.871582,4234.743652,4459.487305,4472.179688,4317.436035,4395.897461,0.000000,4.000000,98.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1677472329.434911,1677472329.435324,24.000000,0.000000,4232.948730,4224.743652,4262.051270,4262.820313,4250.000000,4266.282227,4268.461426,4295.641113,4362.692383,4229.743652,4454.871582,4464.487305,4314.102539,4396.282227,0.000000,4.000000,98.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,6.000000,0.000000,0.712714,-0.234192,-0.659607,-0.045959,0.956171,-0.299353,0.022464,-109.328880,25.133898,6.832380
1677472329.442719,1677472329.443131,25.000000,0.000000,4232.307617,4218.077148,4259.358887,4258.589844,4248.077148,4269.871582,4270.256348,4291.794922,4349.230957,4229.230957,4446.666504,4455.512695,4311.025879,4399.871582,0.000000,4.000000,98.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1677472329.450527,1677472329.451039,26.000000,0.000000,4240.128418,4218.205078,4270.384766,4255.128418,4250.384766,4279.358887,4277.179688,4297.179688,4350.128418,4233.461426,4453.846191,4464.871582,4317.820313,4397.436035,0.000000,4.000000,98.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1677472329.458335,1677472329.458847,27.000000,0.000000,4246.410156,4228.846191,4277.436035,4261.666504,4259.230957,4279.358887,4275.897461,4302.563965,4357.948730,4235.641113,4464.615234,4478.077148,4326.282227,4401.410156,0.000000,4.000000,98.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1677472329.466143,1677472329.466555,28.000000,0.000000,4245.000000,4232.307617,4274.743652,4266.794922,4259.358887,4271.282227,4273.461426,4302.692383,4351.538574,4235.641113,4464.615234,4473.589844,4326.922852,4413.077148,0.000000,4.000000,98.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,7.000000,0.000000,0.712545,-0.234680,-0.659607,-0.046082,0.959101,-0.307166,0.025394,-109.379326,25.103842,6.699142
1677472329.473951,1677472329.474362,29.000000,0.000000,4238.974121,4222.692383,4271.922852,4261.153809,4249.871582,4267.051270,4273.333496,4301.025879,4341.922852,4240.000000,4463.717773,4466.538574,4326.794922,4417.563965,0.000000,4.000000,98.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1677472329.481759,1677472329.482070,30.000000,0.000000,4236.025879,4218.461426,4269.871582,4254.230957,4246.794922,4266.922852,4270.256348,4299.358887,4341.794922,4243.974121,4463.205078,4471.282227,4327.179688,4407.307617,0.000000,4.000000,98.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
