title:sad, start timestamp:1677472161.719897, stop timestamp:1677472222.949395, headset type:EPOCX, headset serial:E50201C8, headset firmware:720, channels:67, sampling rate:eeg_128;mot_32, samples:7843      , version:2.1, 
Timestamp,OriginalTimestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1677472161.719897,1677472162.164657,105.000000,0.000000,4248.461426,4231.282227,4277.563965,4249.358887,4249.615234,4260.512695,4258.846191,4259.487305,4248.205078,4235.897461,4459.487305,4468.077148,4341.282227,4397.436035,6658.000000,4.000000,98.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1677472161.727705,1677472162.172365,106.000000,0.000000,4245.897461,4229.102539,4275.769043,4247.179688,4250.641113,4261.538574,4261.538574,4259.487305,4250.000000,4248.205078,4458.077148,4473.461426,4340.897461,4398.205078,6022.000000,4.000000,98.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1677472161.735513,1677472162.180173,107.000000,0.000000,4244.743652,4230.000000,4279.743652,4249.358887,4249.743652,4265.512695,4263.717773,4262.179688,4255.769043,4252.179688,4457.051270,4471.922852,4346.025879,4408.717773,6317.000000,4.000000,98.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1677472161.743321,1677472162.187882,108.000000,0.000000,4251.025879,4235.256348,4283.077148,4252.179688,4251.282227,4267.948730,4264.230957,4265.769043,4262.179688,4245.512695,4461.794922,4466.153809,4352.692383,4409.102539,5950.000000,4.000000,98.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,27.000000,0.000000,0.688949,-0.208740,-0.694092,-0.003662,0.954218,-0.301795,0.011232,-113.395607,19.512117,5.801919
1677472161.751129,1677472162.195689,109.000000,0.000000,4243.974121,4223.461426,4276.153809,4247.436035,4260.897461,4265.897461,4264.743652,4268.333496,4264.487305,4244.230957,4458.461426,4467.563965,4343.589844,4391.410156,6658.000000,4.000000,98.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1677472161.758937,1677472162.203398,110.000000,0.000000,4225.897461,4207.948730,4264.487305,4238.974121,4261.410156,4266.153809,4266.282227,4264.230957,4259.230957,4245.128418,4451.025879,4462.692383,4329.358887,4384.743652,6022.000000,4.000000,98.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1677472161.766745,1677472162.211305,111.000000,0.000000,4233.205078,4221.410156,4267.307617,4245.256348,4253.974121,4273.974121,4267.563965,4261.794922,4257.307617,4247.692383,4453.333496,4454.230957,4336.410156,4401.794922,6317.000000,4.000000,98.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1677472161.774552,1677472162.219113,112.000000,0.000000,4260.384766,4245.128418,4280.384766,4255.769043,4255.641113,4271.794922,4265.384766,4263.205078,4259.871582,4245.384766,4453.974121,4460.256348,4341.410156,4409.102539,5950.000000,4.000000,98.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,28.000000,0.000000,0.688888,-0.208740,-0.694153,-0.003479,0.952753,-0.307655,-0.000977,-113.472717,19.510906,5.905060
1677472161.782360,1677472162.227021,113.000000,0.000000,4274.743652,4253.846191,4290.384766,4260.128418,4262.563965,4261.538574,4267.436035,4261.153809,4257.436035,4238.077148,4453.461426,4475.128418,4331.666504,4416.922852,6658.000000,4.000000,98.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1677472161.790168,1677472162.234829,114.000000,0.000000,4279.615234,4261.666504,4299.358887,4266.794922,4266.025879,4262.820313,4271.538574,4256.794922,4251.153809,4237.307617,4458.589844,4484.871582,4330.512695,4441.025879,6022.000000,4.000000,98.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1677472161.797976,1677472162.242637,115.000000,0.000000,4289.230957,4267.307617,4301.794922,4267.051270,4266.538574,4265.641113,4266.922852,4254.358887,4245.897461,4236.666504,4457.692383,4482.051270,4333.077148,4451.666504,6317.000000,4.000000,98.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1677472161.805784,1677472162.250345,116.000000,0.000000,4298.461426,4264.487305,4294.871582,4261.153809,4263.333496,4263.846191,4261.025879,4254.102539,4248.717773,4239.102539,4456.153809,4474.487305,4329.871582,4444.871582,5950.000000,4.000000,98.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,29.000000,0.000000,0.688866,-0.208618,-0.694214,-0.003113,0.939079,-0.293493,-0.000977,-113.558777,19.326483,5.814554
1677472161.813592,1677472162.258153,117.000000,0.000000,4296.153809,4264.358887,4289.615234,4264.487305,4258.846191,4266.666504,4265.897461,4259.743652,4257.948730,4251.538574,4463.846191,4478.461426,4335.769043,4447.436035,6658.000000,4.000000,98.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1677472161.821400,1677472162.265861,118.000000,0.000000,4283.589844,4264.358887,4287.307617,4263.077148,4258.846191,4267.051270,4268.205078,4268.205078,4260.769043,4247.820313,4463.846191,4484.487305,4338.589844,4455.384766,6022.000000,4.000000,98.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1677472161.829208,1677472162.273769,119.000000,0.000000,4278.077148,4261.153809,4287.948730,4260.512695,4262.948730,4265.384766,4266.153809,4264.615234,4255.128418,4233.077148,4453.589844,4480.384766,4326.794922,4446.922852,6317.000000,4.000000,98.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1677472161.837016,1677472162.281577,120.000000,0.000000,4283.333496,4265.256348,4294.871582,4271.794922,4271.025879,4273.717773,4272.307617,4262.307617,4258.461426,4245.769043,4454.615234,4481.666504,4328.846191,4437.563965,5950.000000,4.000000,98.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,30.000000,0.000000,0.689002,-0.208374,-0.694153,-0.002930,0.942986,-0.299841,0.011232,-113.586235,19.410500,5.816432
1677472161.844823,1677472162.289485,121.000000,0.000000,4282.307617,4266.282227,4300.000000,4275.769043,4279.102539,4282.563965,4279.743652,4274.487305,4268.461426,4260.256348,4460.769043,4490.384766,4336.025879,4444.230957,6658.000000,4.000000,98.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1677472161.852631,1677472162.297293,122.000000,0.000000,4276.282227,4264.230957,4298.846191,4265.128418,4276.666504,4280.897461,4275.384766,4280.512695,4266.025879,4250.769043,4461.410156,4488.077148,4326.538574,4446.410156,6022.000000,4.000000,98.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1677472161.860439,1677472162.305201,123.000000,0.000000,4278.205078,4261.282227,4297.179688,4260.769043,4268.846191,4271.922852,4269.230957,4277.051270,4261.666504,4245.769043,4460.256348,4481.025879,4321.922852,4430.256348,6317.000000,4.000000,98.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
